designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 3293791452727862272",3293791452727862272,68.81153928422076,10.399834577703862,0.937699420267219,8.002144056277873,-3.005137043405946,1.019475,19.746727,20.864603,18.672222,2.192381,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791452727863936",3293791452727863936,68.81453779166551,10.402639375223657,0.5116059415702959,1.7871033034468724,1.8875631761410834,1.0790374,18.561014,19.55725,17.576685,1.9805641,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3787.3652,4.9242,-0.9745,588.609,0.5606,0.3956,0.2143
"Gaia DR3 3293791487087603328",3293791487087603328,68.82274852024152,10.405532560125609,0.3202114795134621,-0.5497057777813857,-0.2599896166090765,1.0375684,18.23104,18.734072,17.569027,1.1650448,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4795.2676,4.8533,-3.3198,1360.1831,0.1342,0.1062,0.0584
"Gaia DR3 3293791487087604224",3293791487087604224,68.82958147957892,10.409425316157998,1.0391561280497572,0.03175054401209708,0.1271564647372734,1.0132728,20.269829,20.586077,19.631239,0.9548378,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791491382326272",3293791491382326272,68.83705613137,10.407355589193699,,,,,21.153095,21.50635,20.19488,1.31147,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791521447340928",3293791521447340928,68.80430327867919,10.40373853275429,0.05650059425621708,2.1752273561752955,-3.5020651083179652,1.0896897,18.480715,19.095127,17.696875,1.3982525,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4314.3926,4.755,-1.4983,1243.8959,0.1081,0.0819,0.0441
"Gaia DR3 3293791521448032768",3293791521448032768,68.8025044367878,10.406892053332934,3.6192255176672914,29.574229887277895,-23.663550876274485,1.6452333,20.80535,21.373962,19.33616,2.0378017,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791555807082752",3293791555807082752,68.81002183744246,10.416899946348284,-0.11721588939379654,0.8962145815501356,-8.260732318445521,1.0780293,20.682947,21.038631,19.763056,1.2755756,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791555807084160",3293791555807084160,68.8197361432233,10.42043548237728,0.6474707968894171,1.231027817741089,-2.980199722907159,1.0058789,18.225605,18.875711,17.433352,1.4423599,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4269.4346,4.9139,-1.4564,911.4388,0.1104,0.0833,0.0448
"Gaia DR3 3293791555807812992",3293791555807812992,68.82161262544189,10.419812882183832,,,,,21.192707,20.826096,19.642714,1.183382,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791590166456448",3293791590166456448,68.9003077961879,10.358788317231587,0.8748343978941855,3.0504060999174563,1.4222027631365057,0.9956495,18.04021,18.830475,17.172031,1.6584435,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4282.035,4.8515,-1.2094,789.1522,0.6429,0.477,0.257
"Gaia DR3 3293791590167769216",3293791590167769216,68.90968881335431,10.364010255470255,3.001431321062645,9.119731141571384,-8.36017333603324,1.1768936,20.66391,21.242006,19.274471,1.967535,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791624526196864",3293791624526196864,68.9176537536644,10.374350208510343,-0.1682643563732309,4.1018151009403265,-2.481083955883233,0.9938566,20.206429,21.033749,19.132008,1.901741,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791628821144192",3293791628821144192,68.92120081187758,10.369347323935262,,,,,21.347454,22.00704,20.549261,1.4577789,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791628823564544",3293791628823564544,68.91877245164767,10.36316827947185,-0.21559551852078784,4.5188842591868035,0.054841612907862346,1.0515175,20.636143,21.032784,19.521755,1.5110283,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791658886327936",3293791658886327936,68.89166264946631,10.375329119071447,-0.34834491716608285,-0.0863166076533276,-1.1526967315395586,1.0124389,20.42989,20.774168,19.785625,0.98854256,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791693246080384",3293791693246080384,68.9030267592995,10.386358579326108,,,,,21.667482,20.260075,19.375824,0.88425064,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791697542921472",3293791697542921472,68.90435690876134,10.375208861793613,2.0713731577613097,24.992140060931575,-13.48670639840064,1.0144441,18.32822,20.128866,17.061907,3.0669594,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3564.0696,4.7054,0.1205,416.7672,1.9652,1.2514,0.7987
"Gaia DR3 3293791727605411584",3293791727605411584,68.92733478012208,10.372440635850158,-0.2894998908294599,-0.44143528563124845,-0.5077446513218868,1.0947098,19.991055,20.459751,19.373125,1.086626,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791731899787776",3293791731899787776,68.92584807644566,10.379828401697901,1.4303169052155984,4.264674428994886,-7.078398887691129,1.0359645,20.454662,21.316711,19.258442,2.0582695,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791731901251456",3293791731901251456,68.92007853470027,10.38158579838072,,,,,21.1161,20.006662,18.050756,1.9559059,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791796325282432",3293791796325282432,68.91871630066616,10.384994960670413,,,,,21.268343,21.009504,20.098978,0.9105263,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293791796325282816",3293791796325282816,68.91265725034364,10.385806104777611,-0.47030097939589255,0.2667675327929806,-0.06161454415513348,0.99516594,19.856762,20.145697,19.313965,0.8317318,,"VARIABLE",0,false,false,false,true,false,false,false,,,,,,,
